bucket,law_name,title,family,geo_extent,type_code,ni_law,detail,tier,confidence,matched_dimensions,caveats
territory_branch_match,UK_ukpga_1997_9,Planning (Listed Buildings and Conservation Areas) (Scotland) Act,💚 PLANNING & INFRASTRUCTURE,UK,ukpga,,tree has material/personal/territorial but matched on territory,strong,1.0,territorial,
territory_branch_match,UK_ukpga_2006_19,Climate Change and Sustainable Energy Act,💚 CLIMATE CHANGE,UK,ukpga,,tree has material/personal/temporal/territorial but matched on territory,strong,1.0,territorial,
territory_branch_match,UK_ukpga_2009_19,Green Energy (Definition and Promotion) Act,💚 ENERGY,E+W,ukpga,,tree has personal/temporal/territorial but matched on territory,strong,1.0,territorial,
territory_branch_match,UK_ukpga_2014_21,Water Act,💚 WATER & WASTEWATER,UK,ukpga,,tree has material/personal/territorial but matched on territory,strong,1.0,territorial,
territory_branch_match,UK_ukpga_2016_20,Energy Act,💚 ENERGY,UK,ukpga,,tree has material/personal/temporal/territorial but matched on territory,probable,0.75,territorial,
territory_branch_match,UK_ukpga_2026_9,Sustainable Aviation Fuel Act,💚 TRANSPORT: Aviation,UK,ukpga,,tree has material/temporal/territorial but matched on territory,strong,0.85,territorial,
territory_branch_match,UK_uksi_1991_2539,Control of Pollution (Radioactive Waste) (Scotland) Regulations,💚 NUCLEAR & RADIOLOGICAL,UK,uksi,,tree has material/territorial but matched on territory,strong,1.0,territorial,
territory_branch_match,UK_uksi_2002_2686,Town and Country Planning (Enforcement) (Inquiries Procedure) (England) Rules,💚 TOWN & COUNTRY PLANNING,UK,uksi,,tree has material/personal/territorial but matched on territory,strong,1.0,territorial,
territory_branch_match,UK_uksi_2003_2004,Access to the Countryside (Dedication of Land) (England) Regulations,💚 WILDLIFE & COUNTRYSIDE,E+W,uksi,,tree has material/territorial but matched on territory,strong,1.0,territorial,
territory_branch_match,UK_uksi_2007_727,Water Resources Management Plan Regulations,💚 WATER & WASTEWATER,E+W,uksi,,tree has material/personal/territorial but matched on territory,strong,1.0,territorial,
territory_branch_match,UK_uksi_2009_2813,Offshore Gas Storage and Unloading (Licensing) Regulations,💚 OIL & GAS - OFFSHORE - PETROLEUM,UK,uksi,,tree has material/territorial but matched on territory,probable,0.7,territorial,
territory_branch_match,UK_uksi_2009_2814,"Offshore Exploration (Petroleum, and Gas Storage and Unloading) (Model Clauses) Regulations",💚 OIL & GAS - OFFSHORE - PETROLEUM,UK,uksi,,tree has material/territorial but matched on territory,probable,0.7,territorial,
territory_branch_match,UK_uksi_2011_1483,Storage of Carbon Dioxide (Termination of Licences) Regulations,💚 CLIMATE CHANGE,UK,uksi,,tree has material/personal/temporal/territorial but matched on territory,strong,1.0,territorial,
territory_branch_match,UK_uksi_2011_2019,Access to the Countryside (Appeals against Works Notices) (England) Regulations,💚 WILDLIFE & COUNTRYSIDE,UK,uksi,,tree has material/personal/territorial but matched on territory,strong,1.0,territorial,
territory_branch_match,UK_uksi_2011_2305,Storage of Carbon Dioxide (Access to Infrastructure) Regulations,💚 CLIMATE CHANGE,UK,uksi,,tree has material/personal/temporal/territorial but matched on territory,strong,1.0,territorial,
territory_branch_match,UK_uksi_2012_801,Town and Country Planning (Development Management Procedure) (Wales) Order,💚 TOWN & COUNTRY PLANNING,E+W,uksi,,tree has material/personal/territorial but matched on territory,strong,1.0,territorial,
territory_branch_match,UK_uksi_2015_10,Keeping and Introduction of Fish (England and River Esk Catchment Area) Regulations,💚 MARINE & RIVERINE,UK,uksi,,tree has material/territorial but matched on territory,strong,1.0,territorial,
territory_branch_match,UK_uksi_2015_1522,"Town and Country Planning (Fees for Applications, Deemed Applications and Site Visits) (Wales) Regulations",💚 TOWN & COUNTRY PLANNING,E+W,uksi,,tree has material/personal/temporal/territorial but matched on territory,strong,1.0,territorial,
territory_branch_match,UK_uksi_2018_42,Nuclear Installations (Prescribed Sites and Transport) Regulations,💚 NUCLEAR & RADIOLOGICAL,UK,uksi,,tree has material/temporal/territorial but matched on territory,probable,0.75,territorial,
territory_branch_match,UK_uksi_2020_41,Countryside Stewardship (England) Regulations,💚 WILDLIFE & COUNTRYSIDE,E+W,uksi,,tree has material/territorial but matched on territory,strong,1.0,territorial,
territory_branch_match,UK_uksi_2022_565,Boiler Upgrade Scheme (England and Wales) Regulations,💚 ENERGY,UK,uksi,,tree has material/personal/territorial but matched on territory,strong,1.0,territorial,
territory_branch_match,UK_uksi_2026_389,Warm Home Discount (England and Wales) Regulations,💚 ENERGY,UK,uksi,,tree has material/personal/temporal/territorial but matched on territory,strong,1.0,territorial,
territory_branch_match,UK_uksi_2026_425,Data Protection Act 2018 (Code of Practice on Artificial Intelligence and Automated Decision-Making) Regulations,💙 PUBLIC: Data,UK,uksi,,tree has material/temporal/territorial but matched on territory,strong,0.85,territorial,
territory_branch_match,UK_wsi_2014_3303,Keeping and Introduction of Fish (Wales) Regulations,💚 FISHERIES & FISHING,UK,wsi,,tree has material/temporal/territorial but matched on territory,strong,1.0,territorial,
territory_branch_match,UK_wsi_2018_1216,"Environment, Planning and Rural Affairs (Miscellaneous Amendments) (Wales) Regulations",💚 WATER & WASTEWATER,E+W,wsi,,tree has material/temporal/territorial but matched on territory,strong,1.0,territorial,
territory_only_tree,UK_nisr_1995_345,"Offshore Installations (Prevention of Fire and Explosion, and Emergency Response) Regulations (Northern Ireland)",💙 OH&S: Offshore Safety,UK,nisr,t,,strong,0.8,territorial,
territory_only_tree,UK_ssi_2010_216,Carbon Accounting Scheme (Scotland) Regulations,💚 CLIMATE CHANGE,S,ssi,,,strong,1.0,territorial,
territory_only_tree,UK_ssi_2012_174,Wildlife and Countryside Act 1981 (Keeping and Release and Notification Requirements) (Scotland) Order,💚 WILDLIFE & COUNTRYSIDE,UK,ssi,,,strong,1.0,territorial,
territory_only_tree,UK_ukpga_1980_27,Import of Live Fish (England and Wales) Act,💚 FISHERIES & FISHING,E+W,ukpga,,,strong,1.0,territorial,
territory_only_tree,UK_uksi_1988_819,Collection and Disposal of Waste Regulations,💚 WASTE,UK,uksi,,,strong,1.0,,
territory_only_tree,UK_uksi_1989_1671,Offshore Installations and Pipeline Works (First-Aid) Regulations,💙 OH&S: Offshore Safety,UK,uksi,,,probable,0.56,territorial,
territory_only_tree,UK_uksi_1989_971,Offshore Installations (Safety Representatives and Safety Committees) Regulations,💙 OH&S: Offshore Safety,UK,uksi,,,probable,0.525,territorial,
territory_only_tree,UK_uksi_1995_743,"Offshore Installations (Prevention of Fire and Explosion, and Emergency Response) Regulations",💙 OH&S: Offshore Safety,GB,uksi,,,possible,0.45,territorial,
territory_only_tree,UK_uksi_2009_2264,Infrastructure Planning (Applications: Prescribed Forms and Procedure) Regulations,💚 PLANNING & INFRASTRUCTURE,UK,uksi,,,strong,1.0,,
territory_only_tree,UK_uksi_2013_1986,Electricity (Necessary Wayleaves and Felling and Lopping of Trees) (Charges) (England and Wales) Regulations,💚 ENERGY,UK,uksi,,,strong,1.0,territorial,
territory_only_tree,UK_uksi_2013_2696,Carbon Capture Readiness (Electricity Generating Stations) Regulations,💚 CLIMATE CHANGE,GB,uksi,,,probable,0.75,territorial,
territory_only_tree,UK_uksi_2013_755,Natural Resources Body for Wales (Functions) Order,💚 WILDLIFE & COUNTRYSIDE,E+W,uksi,,,strong,1.0,,
territory_only_tree,UK_uksi_2022_62,Carbon Accounting (Provision for 2020) Regulations,💚 CLIMATE CHANGE,UK,uksi,,,strong,0.85,territorial,
territory_only_tree,UK_uksi_2026_89,Forestry Act 1967 (Consent to Renewable Electricity Development) (England) Regulations,💚 TREES: Forestry & Timber,UK,uksi,,,strong,1.0,territorial,
territory_only_tree,UK_wsi_2004_1490,Landfill Allowances Scheme (Wales) Regulations,💚 WASTE,E+W,wsi,,,strong,1.0,territorial,
territory_only_tree,UK_wsi_2014_3156,Water Industry (Undertakers Wholly or Mainly in Wales) (Information about Non-owner Occupiers) Regulations,💚 WATER & WASTEWATER,UK,wsi,,,strong,1.0,territorial,
time_window_caveat,UK_nisr_2009_273,Explosives (Hazard Information and Packaging for Supply) Regulations (Northern Ireland),💙 FIRE: Dangerous and Explosive Substances,NI,nisr,t,time window … to 2015-06-01; time window … to 2018-06-01,probable,0.6,material/territorial,time window … to 2015-06-01; time window … to 2018-06-01
time_window_caveat,UK_nisr_2015_279,Marine Conservation (Fixed Monetary Penalties) Order (Northern Ireland),💚 MARINE & RIVERINE,UK,nisr,t,time window … to 2015-04-01,probable,0.6,,time window … to 2015-04-01
time_window_caveat,UK_ukpga_1986_44,Gas Act,💚 ENERGY,UK,ukpga,,time window … to 2023-11-20,probable,0.6,conditional/material/personal/territorial,time window … to 2023-11-20
time_window_caveat,UK_ukpga_1989_29,Electricity Act,💚 ENERGY,UK,ukpga,,time window … to 2023-11-20,probable,0.6,conditional/material/personal/territorial,time window … to 2023-11-20
time_window_caveat,UK_ukpga_2016_22,Housing and Planning Act,💚 PLANNING & INFRASTRUCTURE,UK,ukpga,,time window … to 2016-04-15,probable,0.6,territorial,time window … to 2016-04-15
time_window_caveat,UK_uksi_2009_995,Environmental Damage (Prevention and Remediation) (Wales) Regulations,💚 ENVIRONMENTAL PROTECTION,UK,uksi,,time window … to 2009-07-01,probable,0.6,personal/territorial,time window … to 2009-07-01
time_window_caveat,UK_uksi_2012_2999,Climate Change Agreements (Eligible Facilities) Regulations,💚 CLIMATE CHANGE,UK,uksi,,time window … to 2023-03-31,probable,0.6,,time window … to 2023-03-31
time_window_caveat,UK_uksi_2014_3125,Greenhouse Gas Emissions Trading Scheme (Amendment) Regulations,💚 CLIMATE CHANGE,UK,uksi,,time window … to 2014-12-31,probable,0.6,personal/territorial,time window … to 2014-12-31
time_window_caveat,UK_uksi_2015_1947,Renewables Obligation Order,💚 ENVIRONMENTAL PROTECTION,GB,uksi,,time window … to 2016-04-01; time window … to 2015-04-01; time window … to 2019-04-01,probable,0.6,material/personal/territorial,time window … to 2016-04-01; time window … to 2015-04-01; time window … to 2019-04-01
time_window_caveat,UK_uksi_2017_544,Town and Country Planning (Referred Applications and Appeals Procedure) (Wales) Regulations,💚 TOWN & COUNTRY PLANNING,E+W,uksi,,time window … to 2023-12-31,probable,0.6,material/territorial,time window … to 2023-12-31
time_window_caveat,UK_wsi_2026_103,Deposit Scheme for Drinks Containers (Wales) Regulations,💚 ENVIRONMENTAL PROTECTION,UK,wsi,,time window 2030-10-01 to …; time window 2027-10-01 to …; time window 2026-11-15 to …,probable,0.6,material/personal/territorial,time window 2030-10-01 to …; time window 2027-10-01 to …; time window 2026-11-15 to …
